Date;CC;CD;CHos;CCuEI;CCtotalEI;CC1;CD1;CHos1;CCuEI1;CCtotalEI1;CC2;CD2;CHos2;CCuEI2;CCtotalEI2;CI14days;
08-Apr-2021;4141980.653357802;125414.81708275949;536764.6743902522;4552710.116745517;8694690.770103319;3165015.190757937;103979.31791250978;455876.90206136723;4062242.2126357937;7227257.4033937305;976965.4625998649;21435.499170249706;80887.77232888492;490467.9041097233;1467433.366709588;445.02080688920614;
08-Apr-2021;4144395.9348336244;125488.82140898048;536980.8760925297;4553163.80642314;8697559.741256764;3165192.978780383;103987.90557033833;455892.75299276866;4062178.479843524;7227371.458623907;979202.9560532415;21500.91583864215;81088.12309976111;490985.3265796163;1470188.2826328578;442.78701445539144;
09-Apr-2021;4146791.8400877146;125562.67893116287;537196.1111413246;4553633.896236426;8700425.73632414;3165368.0364311677;103996.42637219086;455908.42220198544;4062116.5671106847;7227484.603541853;981423.8036565471;21566.252558972006;81287.68893933922;491517.3291257416;1472941.1327822886;440.519431417055;
09-Apr-2021;4149172.1671503093;125636.38633009733;537410.3838247701;4554116.156983254;8703288.324133564;3165540.6681640963;104004.88060597454;455923.911638149;4062056.147692648;7227596.815856745;983631.4989862132;21631.5057241228;81486.47218662107;492060.0092906053;1475691.5082768186;438.23225398998255;
09-Apr-2021;4151540.1626717905;125709.94080200788;537623.9290094638;4554607.103579615;8706147.266251406;3165711.1338664703;104013.26858324117;455939.23414774763;4061996.9560458716;7227708.089912342;985829.0288053202;21696.67221876671;81684.69486171613;492610.1475337433;1478439.1763390633;435.9413723330425;
09-Apr-2021;4153895.901115641;125783.34186039706;537836.7508026337;4555106.669398192;8709002.570513833;3165879.4604394687;104021.59072393173;455954.3915535646;4061938.9736045646;7227818.434044033;988016.4406761721;21761.751136465333;81882.35924906911;493167.6957936274;1481184.1364697996;433.64687188111844;
09-Apr-2021;4156239.4593595;125856.58903683796;538048.8535522694;4555614.787329498;8711854.246688997;3166045.6746159135;104029.84744701016;455969.38567303406;4061882.1819433756;7227927.856559289;990193.7847435866;21826.741589827798;82079.46787923531;493732.60538612254;1483926.3901297092;431.3488400885877;
09-Apr-2021;4158570.916471719;125929.68188156675;538260.2418285975;4556131.389900691;8714702.30637241;3166209.802950055;104038.03917046209;455984.2183172798;4061826.5627848567;7228036.3657349115;992361.113521664;21891.642711104665;82276.02351131766;494304.8271158339;1486665.940637498;429.0473661648011;
10-Apr-2021;4160890.8453534343;126002.61928032355;538470.5758299786;4556655.878632047;8717546.723985482;3166371.9060474043;104046.16628037936;455998.8757104696;4061772.0611113138;7228143.967158718;994518.9393060299;21956.452999944187;82471.70011950897;494883.81752073346;1489402.7568267633;426.7408846798306;
10-Apr-2021;4163197.601613175;126075.39675891855;538679.8615993345;4557189.810041926;8720387.411655102;3166531.8904809873;104054.22900976687;456013.3598157999;4061718.774164876;7228250.664645864;996665.7111321879;22021.167749151675;82666.50178353454;495471.0358770498;1492136.7470092378;424.47447555932393;
10-Apr-2021;4165489.0620783465;126148.01060774471;538888.4499194279;4557735.694296868;8723224.756375214;3166689.630947388;104062.22762568526;456027.68816546665;4061666.8594382214;7228356.49038561;998799.4311309588;22085.782982059452;82860.76175396117;496068.83485864603;1494868.2659896049;422.29478606242463;
10-Apr-2021;4167765.3354975497;126220.46057721112;539096.346072419;4558293.483507064;8726058.819004614;3166845.1582963173;104070.1625503597;456041.8625336463;4061616.2956100916;7228461.453906409;1000920.1772012325;22150.29802685142;83054.4835387727;496677.1878969729;1497597.3650982054;420.20172882531114;
10-Apr-2021;4170026.5317790927;126292.74643683402;539303.5554997576;4558863.129518353;8728889.661297448;3166998.5030828603;104078.03420486388;456055.88468535786;4061567.0615658704;7228565.564648732;1003028.0286962326;22214.712231970134;83247.67081439983;497296.0679524833;1500324.0966487161;418.19521399175073;
10-Apr-2021;4172272.7618424213;126364.86797554827;539510.0837906584;4559444.583976022;8731717.345818443;3167149.6955621615;104085.8430091131;456069.7563758527;4061519.136401194;7228668.831963356;1005123.0662802598;22279.024966435172;83440.32741480574;497925.44757482817;1503048.5138550878;416.2751488515795;
11-Apr-2021;4174504.592805984;126436.82423892342;539715.5520920218;4560037.302610503;8734541.895416487;3167298.795988943;104093.58934890876;456083.4627446004;4061472.4664754015;7228771.2624643445;1007205.7968170409;22343.234890014664;83632.08934742142;498564.83613510116;1505770.632952142;414.44008841146825;
11-Apr-2021;4176749.1200293805;126508.61052029551;539919.9673866077;4560609.921483643;8737359.041513024;3167447.6161803324;104101.27344675646;456097.0057009703;4061425.02174223;7228872.637922562;1009301.5038490482;22407.33707353904;83822.96168563733;499184.89974141377;1508486.403590462;412.70528729322064;
11-Apr-2021;4179032.807184172;126580.22296318816;540123.7210889435;4561131.647998352;8740164.455182523;3167597.8990653623;104108.8955613057;456110.4037331807;4061374.853624569;7228972.752689931;1011434.9081188093;22471.327401882456;84013.31735576283;499756.7943737832;1511191.7024925926;411.0871168712042;
11-Apr-2021;4181355.413327654;126651.66156839476;540326.8184974915;4561602.13282371;8742957.546151364;3167749.5976374107;104116.45611639328;456123.6585092395;4061322.0010502525;7229071.598687664;1013605.815690243;22535.205452001475;84203.15998825208;500280.1317734579;1513885.947463701;409.5850122715345;
11-Apr-2021;4183716.6964244535;126722.92635194212;540529.2645065365;4562021.059965564;8745737.756390017;3167902.6656024894;104123.95553438572;456136.7716604498;4061266.5036492287;7229169.169251718;1015814.0308219643;22598.97081755641;84392.49284608671;500754.5563163354;1516568.5871382996;408.1984030364896;
11-Apr-2021;4186116.412830036;126794.01734356239;540731.0635937143;4562388.146327966;8748504.559158001;3168057.0573490714;104131.39423611811;456149.7447816873;4061208.4017227315;7229265.459071803;1018059.3554809645;22662.623107444273;84581.31881202699;501179.744605234;1519239.1000861987;406.9267124244054;
12-Apr-2021;4188554.8005072502;126864.9337033389;540931.7753801123;4562702.613233844;8751257.413741093;3168212.7586908494;104138.77260448129;456162.5611098671;4061147.702647699;7229360.461338548;1020342.0418164008;22726.16109885762;84769.21427024525;501554.91058614466;1521896.9524025456;405.76826197020546;
12-Apr-2021;4191012.851125527;126935.67024264263;541131.404837983;4562985.635562343;8753998.486687869;3168368.5406087986;104146.0908418366;456175.2223647635;4061085.764167335;7229454.304776133;1022644.3105167288;22789.579400806033;84956.18247321944;501899.8713950079;1524544.1819117365;404.6482566861676;
12-Apr-2021;4193471.1905375216;127006.22274172929;541330.4010865578;4563259.495390778;8756730.6859283;3168523.169282894;104153.34919004954;456187.74855879275;4061023.983208429;7229547.152491324;1024948.0212546274;22852.873551679753;85142.65252776507;502235.5121823498;1527183.5334369773;403.4932764256532;
12-Apr-2021;4195929.807177657;127076.59142551363;541528.767344438;4563524.1295223;8759453.936699959;3168676.6519965883;104160.54807290563;456200.14116546954;4060962.359331179;7229639.011327768;1027253.1551810688;22916.043352608;85328.6261789684;502561.77019112156;1529814.9253721903;402.30329219990665;
12-Apr-2021;4198388.688598679;127146.77652506769;541726.506727776;4563779.477795987;8762168.166394668;3168828.9959930917;104167.6879122824;456212.40164062724;4060900.892186192;7229729.8881792845;1029559.6926055874;22979.08861278528;85514.10508714874;502878.5856097957;1532438.2782153832;401.07827171208163;
12-Apr-2021;4200847.821443084;127216.7782772243;541923.6222493207;4564025.483028644;8764873.304471727;3168980.2084733327;104174.76912813452;456224.5314224848;4060839.581511553;7229819.789984887;1031867.6129697509;23042.009149089772;85699.0908268359;503185.90151709056;1535053.5144868414;399.81817990663717;
13-Apr-2021;4203307.659585644;127286.59612469668;542119.7138768395;4564261.581846922;8767569.241432566;3169130.3250570255;104181.79210701384;456236.5160731574;4060778.3962302124;7229908.721287238;1034177.3345286183;23104.804017682833;85883.19780368201;503483.1856167097;1537660.520145328;398.5218695082332;
13-Apr-2021;4205766.485005756;127356.22556274317;542314.7856078234;4564489.342470938;8770255.827476695;3169279.249898936;104188.75707868865;456248.35716463206;4060717.4362050123;7229996.686103949;1036487.2351068197;23167.46848405452;86066.42844319137;503771.9062659256;1540259.1413727452;397.19773658265257;
13-Apr-2021;4208222.121220917;127425.6629610573;542509.2442709649;4564711.277991748;8772933.399212666;3169426.860834413;104195.6643066201;456260.07210834796;4060656.8532573925;7230083.714091806;1038795.260386504;23229.99865443719;86249.17216261687;504054.4247343561;1542849.6851208599;395.8552831357973;
13-Apr-2021;4210674.572416987;127494.90871545434;542703.0924597991;4564927.351562765;8775601.923979754;3169573.169231134;104202.51421124501;456271.6622699712;4060596.643874324;7230169.813105458;1041101.4031858536;23292.39450420932;86431.43018982788;504330.7076884413;1545432.110874295;394.4944624297458;
13-Apr-2021;4213123.841863707;127563.96322386776;542896.3326812541;4565137.52814339;8778261.370007098;3169718.1863495456;104209.30721086962;456283.12899914966;4060536.804629981;7230254.990979526;1043405.6555141616;23354.656012998137;86613.2036821045;504600.7235134092;1548006.3790275708;393.11522710804593;
13-Apr-2021;4215569.9319199165;127632.82688605806;543088.9673566975;4565341.774445428;8780911.706365343;3169861.9233429157;104216.04372166145;456294.4736296343;4060477.3321832274;7230339.255526143;1045708.0085770009;23416.7831643966;86794.49372706325;504864.4422622002;1550572.450839201;391.71752942486023;
14-Apr-2021;4218013.293305084;127701.49930541287;543280.5966736865;4565539.569939094;8783552.863244178;3170004.417358922;104222.72412766192;456305.682369762;4060418.194899244;7230422.612258166;1048008.8759461619;23478.77517775096;86974.91430392454;505121.37503985025;1553130.2509860122;390.30023927604094;
