Date;New E from E;New E From I;New E From Iu;New E From HR;New E From HD;New E (total);New Cases;New Hos;New Deaths;New E from E1;New E From I1;New E From Iu1;New E From HR1;New E From HD1;New E (total)1;New Cases1;New Hos1;New Deaths1;
15-May-2020;369.06133784990465;1017.1466438324643;2394.879133055986;1699.0035913033119;107.30917736905435;5587.399883410721;669.6849058521275;489.73203646626604;135.0918719599848;369.06133784990465;1017.1466438324643;2394.879133055986;1699.0035913033119;107.30917736905435;5587.399883410721;669.6849058521275;489.73203646626604;135.0918719599848;
16-May-2020;367.1982723814122;1012.6113108375965;2377.8413962964923;1685.0562043094587;106.45260737666791;5549.159791201628;676.4145472378556;487.55619058475264;134.34216219562433;367.1982723814122;1012.6113108375965;2377.8413962964923;1685.0562043094587;106.45260737666791;5549.159791201628;676.4145472378556;487.55619058475264;134.34216219562433;
16-May-2020;365.33277025971773;1008.0787836808955;2364.2873271464414;1673.439978092468;105.74531404864352;5516.884173228167;668.0291665281303;485.3815767542033;133.6006528774495;365.33277025971773;1008.0787836808955;2364.2873271464414;1673.439978092468;105.74531404864352;5516.884173228167;668.0291665281303;485.3815767542033;133.6006528774495;
16-May-2020;363.469991025766;1003.5490362024244;2350.881924337355;1661.9139103601017;105.04559247642973;5484.860454402077;659.6935608492853;483.2081874190462;132.86708428480225;363.469991025766;1003.5490362024244;2350.881924337355;1661.9139103601017;105.04559247642973;5484.860454402077;659.6935608492853;483.2081874190462;132.86708428480225;
16-May-2020;361.6102665710967;999.0222020961179;2337.6223082214715;1650.477001972893;104.35322356058984;5453.085002422169;651.4077781103367;481.0360879610741;132.14120555026335;361.6102665710967;999.0222020961179;2337.6223082214715;1650.477001972893;104.35322356058984;5453.085002422169;651.4077781103367;481.0360879610741;132.14120555026335;
16-May-2020;359.7539129380164;994.4984360523657;2324.505654747433;1639.1282676301928;103.66799600183943;5421.554267369847;643.1718768963415;478.8653538643926;131.42277456194435;359.7539129380164;994.4984360523657;2324.505654747433;1639.1282676301928;103.66799600183943;5421.554267369847;643.1718768963415;478.8653538643926;131.42277456194435;
16-May-2020;357.9012309276239;989.9779118519672;2311.529195065179;1627.8667358848734;102.989706093251;5390.2647798228945;634.985924688442;476.69606979857735;130.7115577490065;357.9012309276239;989.9779118519672;2311.529195065179;1627.8667358848734;102.989706093251;5390.2647798228945;634.985924688442;476.69606979857735;130.7115577490065;
17-May-2020;356.05250668657015;985.4608205693919;2298.6902150882615;1616.691449138811;102.31815751384738;5359.213148996881;626.8499962141464;474.52832875436025;130.00732986750822;356.05250668657015;985.4608205693919;2298.6902150882615;1616.691449138811;102.31815751384738;5359.213148996881;626.8499962141464;474.52832875436025;130.00732986750822;
17-May-2020;354.2040213486876;980.9472703034596;2284.0112889849565;1602.9215286923406;101.48349015573399;5323.567599485179;627.6988214900854;472.3621804778244;129.30987368849017;354.2040213486876;980.9472703034596;2284.0112889849565;1602.9215286923406;101.48349015573399;5323.567599485179;627.6988214900854;472.3621804778244;129.30987368849017;
17-May-2020;352.3522244546005;976.4369754901422;2269.4516039332066;1589.2753598279667;100.65755793137454;5288.17372163729;628.5155598114515;470.19748521950964;128.6189787565948;352.3522244546005;976.4369754901422;2269.4516039332066;1589.2753598279667;100.65755793137454;5288.17372163729;628.5155598114515;470.19748521950964;128.6189787565948;
17-May-2020;350.4976280650814;971.9295887489274;2255.009260681016;1575.7515373938547;99.84014814428217;5253.028163033162;629.3000219318737;468.0340767646558;127.93444026380601;350.4976280650814;971.9295887489274;2255.009260681016;1575.7515373938547;99.84014814428217;5253.028163033162;629.3000219318737;468.0340767646558;127.93444026380601;
