Date;S;E;I;Iu;HR;HD;Q;R;D;Du;E1;I1;Iu1;HR1;HD1;Q1;R1;D1;Du1;
27-May-2020;5.788368864072944E7;24499.428342205523;26804.110829485075;63187.22109210502;7137.234319568841;465.01652789859486;43951.38161158342;144771.91567403887;34205.11491228604;9191.80786792696;24499.428342205523;26804.110829485075;63187.22109210502;7137.234319568841;465.01652789859486;43951.38161158342;144771.91567403887;34205.11491228604;9191.80786792696;
28-May-2020;5.788306341809581E7;24383.99967042572;26653.801136199527;62833.332014689826;7097.619669114364;462.52546018482747;43762.05415985458;145065.88593621695;34220.57394542076;9191.80786792696;24383.99967042572;26653.801136199527;62833.332014689826;7097.619669114364;462.52546018482747;43762.05415985458;145065.88593621695;34220.57394542076;9191.80786792696;
28-May-2020;5.788243879470939E7;24271.427347858807;26505.020779353006;62481.74934326137;7058.222969646696;460.0447016517933;43573.09148198658;145358.58836470914;34235.950114784704;9191.80786792696;24271.427347858807;26505.020779353006;62481.74934326137;7058.222969646696;460.0447016517933;43573.09148198658;145358.58836470914;34235.950114784704;9191.80786792696;
28-May-2020;5.7881814511469856E7;24161.880144494764;26357.808476906495;62133.233247007556;7019.044196022425;457.5746532098219;43383.73309806324;145650.02285584665;34251.24377069907;9191.80786792696;24161.880144494764;26357.808476906495;62133.233247007556;7019.044196022425;457.5746532098219;43383.73309806324;145650.02285584665;34251.24377069907;9191.80786792696;
28-May-2020;5.7881190548433736E7;24055.287409658074;26212.201916940478;61787.76337497248;6980.083386179504;455.1157211452539;43193.99745020576;145940.18681903215;34266.455276938315;9191.80786792696;24055.287409658074;26212.201916940478;61787.76337497248;6980.083386179504;455.1157211452539;43193.99745020576;145940.18681903215;34266.455276938315;9191.80786792696;
28-May-2020;5.7880566885549344E7;23951.58070810648;26068.235479696894;61445.32103383857;6941.3406358843595;452.66831560774574;43003.902686929956;146229.07778630135;34281.5850108842;9191.80786792696;23951.58070810648;26068.235479696894;61445.32103383857;6941.3406358843595;452.66831560774574;43003.902686929956;146229.07778630135;34281.5850108842;9191.80786792696;
28-May-2020;5.787994350265672E7;23850.693753912747;25925.940411054653;61105.88906577961;6902.816092850609;450.23284894714396;42813.466657819554;146516.69341033697;34296.63336362678;9191.80786792696;23850.693753912747;25925.940411054653;61105.88906577961;6902.816092850609;450.23284894714396;42813.466657819554;146516.69341033697;34296.63336362678;9191.80786792696;
29-May-2020;5.78793202933511E7;23752.648482883968;25785.344988379282;60769.45173304683;6864.489552304539;447.80973418581704;42622.727307824185;146803.0315308163;34311.60074001233;9191.80786792696;23752.648482883968;25785.344988379282;60769.45173304683;6864.489552304539;447.80973418581704;42622.727307824185;146803.0315308163;34311.60074001233;9191.80786792696;
29-May-2020;5.78786962430496E7;23658.360117420776;25646.491302507555;60435.85310434399;6826.095951329795;445.3993862606715;42432.108460936164;147088.09153502833;34326.48755868644;9191.80786792696;23658.360117420776;25646.491302507555;60435.85310434399;6826.095951329795;445.3993862606715;42432.108460936164;147088.09153502833;34326.48755868644;9191.80786792696;
29-May-2020;5.787807106738679E7;23567.994816476184;25509.438518090283;60104.94483202641;6787.555273336778;443.0022318878191;42241.84402827434;147371.87501465133;34341.294252322245;9191.80786792696;23567.994816476184;25509.438518090283;60104.94483202641;6787.555273336778;443.0022318878191;42241.84402827434;147371.87501465133;34341.294252322245;9191.80786792696;
29-May-2020;5.7877444677625835E7;23481.52289523268;25374.24406181455;59776.72505396473;6748.870692434582;440.6187117559168;42051.94060609489;147654.38436742048;34356.02126804964;9191.80786792696;23481.52289523268;25374.24406181455;59776.72505396473;6748.870692434582;440.6187117559168;42051.94060609489;147654.38436742048;34356.02126804964;9191.80786792696;
29-May-2020;5.787681698217434E7;23398.918367982278;25240.962648340734;59451.19381377581;6710.045439627682;438.2492788497044;41862.40464222479;147935.62203478802;34370.66906789307;9191.80786792696;23398.918367982278;25240.962648340734;59451.19381377581;6710.045439627682;438.2492788497044;41862.40464222479;147935.62203478802;34370.66906789307;9191.80786792696;
29-May-2020;5.787618788643818E7;23320.158981718047;25109.646479941555;59128.35295286754;6671.082792378171;435.8943968009136;41673.24243538136;148215.59050092596;34385.23812915391;9191.80786792696;23320.158981718047;25109.646479941555;59128.35295286754;6671.082792378171;435.8943968009136;41673.24243538136;148215.59050092596;34385.23812915391;9191.80786792696;
30-May-2020;5.787555729266525E7;23245.22625870614;24980.345440730616;58808.206010087655;6631.986064671842;433.5545383871871;41484.46013478344;148494.2922917255;34399.72894474038;9191.80786792696;23245.22625870614;24980.345440730616;58808.206010087655;6631.986064671842;433.5545383871871;41484.46013478344;148494.2922917255;34399.72894474038;9191.80786792696;
30-May-2020;5.787492649335231E7;23172.725905708554;24853.093471660926;58490.348110950516;6592.973757365534;431.2301824682921;41296.260578538226;148771.73063349558;34414.14202342131;9191.80786792696;23172.725905708554;24853.093471660926;58490.348110950516;6592.973757365534;431.2301824682921;41296.260578538226;148771.73063349558;34414.14202342131;9191.80786792696;
30-May-2020;5.787429683946413E7;23101.261366625975;24727.868118819944;58174.390209064106;6554.26158134681;428.92179486630863;41108.84187071075;149047.91009629695;34428.477889710215;9191.80786792696;23101.261366625975;24727.868118819944;58174.390209064106;6554.26158134681;428.92179486630863;41108.84187071075;149047.91009629695;34428.477889710215;9191.80786792696;
30-May-2020;5.787366831837698E7;23030.814158694222;24604.633534055312;57860.35956288763;6515.848661132342;426.62981049171725;40922.20293798819;149322.83591053585;34442.73708313285;9191.80786792696;23030.814158694222;24604.633534055312;57860.35956288763;6515.848661132342;426.62981049171725;40922.20293798819;149322.83591053585;34442.73708313285;9191.80786792696;
30-May-2020;5.7873040917328894E7;22961.366486994953;24483.354503974504;57548.28182723967;6477.734087536562;424.3546330435846;40736.34269465553;149596.51329938267;34456.92015719177;9191.80786792696;22961.366486994953;24483.354503974504;57548.28182723967;6477.734087536562;424.3546330435846;40736.34269465553;149596.51329938267;34456.92015719177;9191.80786792696;
30-May-2020;5.787241462342385E7;22892.9012197867;24363.996449263235;57238.18110253152;6439.916918780633;422.0966363355486;40551.260042418115;149868.94747868803;34471.027678348095;9191.80786792696;22892.9012197867;24363.996449263235;57238.18110253152;6439.916918780633;422.0966363355486;40551.260042418115;149868.94747868803;34471.027678348095;9191.80786792696;
31-May-2020;5.7871789423635826E7;22825.401864736756;24246.52542330457;56930.079983055846;6402.396181592802;419.8561655778378;40366.95387024181;150140.1436568981;34485.060225046655;9191.80786792696;22825.401864736756;24246.52542330457;56930.079983055846;6402.396181592802;419.8561655778378;40366.95387024181;150140.1436568981;34485.060225046655;9191.80786792696;
31-May-2020;5.7871166316442646E7;22757.85106243761;24130.898048898267;56623.95207936398;6365.195424296005;417.63353737674197;40183.44618512105;150410.10711249145;34499.01838676257;9191.80786792696;22757.85106243761;24130.898048898267;56623.95207936398;6365.195424296005;417.63353737674197;40183.44618512105;150410.10711249145;34499.01838676257;9191.80786792696;
31-May-2020;5.787054629169886E7;22689.28040084051;24017.032713840108;56319.77044512671;6328.337278182503;415.4290280181316;40000.75899830014;150678.84327147322;34512.902762852485;9191.80786792696;22689.28040084051;24017.032713840108;56319.77044512671;6328.337278182503;415.4290280181316;40000.75899830014;150678.84327147322;34512.902762852485;9191.80786792696;
31-May-2020;5.786992932356748E7;22619.74576992235;23904.842098607878;56017.55338988134;6291.819306782865;413.24286315538217;39818.891157491526;150946.357629757;34526.71396103871;9191.80786792696;22619.74576992235;23904.842098607878;56017.55338988134;6291.819306782865;413.24286315538217;39818.891157491526;150946.357629757;34526.71396103871;9191.80786792696;
31-May-2020;5.786931538650354E7;22549.301103790167;23794.243382617355;55717.31625675219;6255.638992957778;411.0752204655107;39637.84146026386;151212.6556753645;34540.452595765724;9191.80786792696;22549.301103790167;23794.243382617355;55717.31625675219;6255.638992957778;411.0752204655107;39637.84146026386;151212.6556753645;34540.452595765724;9191.80786792696;
31-May-2020;5.7868704455253646E7;22477.99843951447;23685.15803932297;55419.07161331453;6219.793745308345;408.92623331928434;39457.60865464573;151477.74288809169;34554.119286662135;9191.80786792696;22477.99843951447;23685.15803932297;55419.07161331453;6219.793745308345;408.92623331928434;39457.60865464573;151477.74288809169;34554.119286662135;9191.80786792696;
01-Jun-2020;5.7868096504855186E7;22405.887974498448;23577.511639767337;55122.829432685234;6184.280904288628;406.7959942352769;39278.19143976212;151741.62473917854;34567.714657121374;9191.80786792696;22405.887974498448;23577.511639767337;55122.829432685234;6184.280904288628;406.7959942352769;39278.19143976212;151741.62473917854;34567.714657121374;9191.80786792696;
01-Jun-2020;5.7867490962089494E7;22333.561179824486;23471.239106509656;54829.02811441464;6148.877989955319;404.68455880103414;39099.37523260635;152004.30597633353;34581.23933300532;9191.80786792696;22333.561179824486;23471.239106509656;54829.02811441464;6148.877989955319;404.68455880103414;39099.37523260635;152004.30597633353;34581.23933300532;9191.80786792696;
01-Jun-2020;5.78668872373483E7;22261.602599566057;23366.30042864192;54538.08858955997;6113.365419368486;402.59195575636795;38920.949561386034;152265.78992270035;34594.693941581274;9191.80786792696;22261.602599566057;23366.30042864192;54538.08858955997;6113.365419368486;402.59195575636795;38920.949561386034;152265.78992270035;34594.693941581274;9191.80786792696;
01-Jun-2020;5.786628528072923E7;22190.050398893967;23262.6634240973;54249.992373758636;6077.744783024721;400.51819636794494;38742.91914052789;152526.07921183;34608.07911078334;9191.80786792696;22190.050398893967;23262.6634240973;54249.992373758636;6077.744783024721;400.51819636794494;38742.91914052789;152526.07921183;34608.07911078334;9191.80786792696;
