Date;S;V1;V2;E;I;Iu;HR;HD;Q;R;D;Du;E1;I1;Iu1;HR1;HD1;Q1;R1;D1;Du1;E2;I2;Iu2;HR2;HD2;Q2;R2;D2;Du2;
08-Jan-2021;5.38484445740543E7;3869.2160000000003;0.0;213046.23641381387;207289.44699980092;221935.01227335434;30775.753686544787;3167.282087022868;492392.51045137714;1845529.336771991;84808.44420696113;9191.80786792696;213011.21952993414;207263.4507357013;221917.3072701122;30773.73784047968;3166.978321756833;492371.8084738746;1845520.4666458433;84807.66467105293;9191.80786792696;35.01688387972026;25.996264099603646;17.705003242147868;2.0158460651076253;0.30376526603518694;20.701977502568784;8.870126147850293;0.7795359081987713;0.0;
08-Jan-2021;5.384274144747042E7;3869.2160000000003;0.0;212304.63689204247;206832.1267928694;221360.77165165983;30753.465490669103;3162.2490354482748;492385.5220554208;1848829.8055525965;84913.93639233564;9191.80786792696;212269.40692194382;206805.9359677412;221342.95070673048;30751.430831143967;3161.942777485438;492364.5662704316;1848820.7958110834;84913.14668937364;9191.80786792696;35.22997009866012;26.190825128196895;17.820944929345202;2.034659525137479;0.3062579628365792;20.955784989177243;9.009741512973621;0.7897029620133007;0.0;
09-Jan-2021;5.383640181512354E7;4534.696;0.0;211556.63236610597;206367.60157171657;220743.5907848926;30730.690319951944;3157.1610372110963;492417.7683497999;1852130.3589846685;85019.25989354664;9191.80786792696;211521.1892266015;206341.2162117965;220725.65855287624;30728.636750626752;3156.8522754395913;492396.5516376063;1852121.2079026648;85018.45994025572;9191.80786792696;35.4431395044568;26.385359920064456;17.932232016369234;2.0535693251902147;0.30876177150524436;21.216712193633875;9.15108200368066;0.7999532909189978;0.0;
09-Jan-2021;5.3830753148169145E7;4534.696;0.0;210805.87031735963;205895.95182326066;220097.4053046343;30707.42222192922;3152.0164707333115;492475.5585871981;1855431.214172824;85124.41285201238;9191.80786792696;210770.21342915102;205869.37194709515;220079.36476034197;30705.349647620584;3151.7051944168165;492454.0754757516;1855421.919983003;85123.60256475332;9191.80786792696;35.65688820860628;26.579876165517717;18.04054429234155;2.0725743086373147;0.3112763164949303;21.483111446474275;9.294189821086759;0.810287259052334;0.0;
09-Jan-2021;5.382512618928046E7;4534.696;0.0;210056.13450053232;205417.40511005788;219435.74168658193;30683.6555625507;3146.8138412199487;492545.40090875863;1858732.4971195837;85229.39335721161;9191.80786792696;210020.26272466267;205390.63070697265;219417.59413305542;30681.563889188714;3146.5000399766027;492523.64759165724;1858723.058023522;85228.57265199322;9191.80786792696;35.87177586965744;26.774403085222094;18.147553526495166;2.0916733619850296;0.31380124334605897;21.753317101400096;9.439096061779264;0.8207052183830171;0.0;
09-Jan-2021;5.38195211098214E7;4534.696;0.0;209307.2255046338;204932.21510975744;218758.86347892956;30659.385179002835;3141.5518226181835;492627.0189200175;1862034.287683373;85334.1994516089;9191.80786792696;209271.13775727112;204905.24613631412;218740.61023172195;30657.274313565482;3141.235486393419;492604.9915777143;1862024.701857089;85333.36824409939;9191.80786792696;36.087747362676566;26.968973443327787;18.25324720760772;2.110865437351813;0.3163362247645295;22.027342303225776;9.585826284011628;0.8312075095181936;0.0;
09-Jan-2021;5.381393807559332E7;4534.696;0.0;208558.95534958417;204440.62141280784;218067.03531986865;30634.606367294225;3136.2292499835203;492720.13972664275;1865336.6638816854;85438.82913615227;9191.80786792696;208522.65060012077;204413.4577954922;218048.6777063127;30632.476217744395;3135.910369024351;492697.8345260733;1865326.9294755498;85437.98734168969;9191.80786792696;36.30474946340471;27.163617315635438;18.35761355593149;2.1301495498300866;0.3188809591694567;22.30520056943641;9.734406135395597;0.84179446258376;0.0;
09-Jan-2021;5.380837724697277E7;4534.696;0.0;207811.1470093202;203942.8503177781;217360.52260332718;30609.31485478813;3130.8451076684873;492824.49380651885;1868639.7019141128;85543.28037544647;9191.80786792696;207774.62427856034;203915.49195554506;217342.0619618715;30607.165330015607;3130.5236724998854;492801.9069007574;1868629.8170527574;85542.42790904842;9191.80786792696;36.52273075986324;27.358362233042985;18.460641455662458;2.1495247725230726;0.3214351686021037;22.586905761436764;9.884861355302858;0.8524663980466194;0.0;
10-Jan-2021;5.380218744704462E7;5186.028;0.0;207063.63395369565;203439.1155866758;216639.59116975917;30583.50677430788;3125.398518268376;492939.814887465;1871943.4761845411;85647.55110254542;9191.80786792696;207026.89231212775;203411.56235335808;216621.02884936702;30581.337784076015;3125.0745196716057;492916.9424154082;1871933.4389667641;85646.68787891795;9191.80786792696;36.74164156790802;27.553233317714888;18.56232039212977;2.168990231865372;0.3239985967700563;22.872472056783472;10.037217777077256;0.8632236274694888;0.0;
10-Jan-2021;5.37966686519373E7;5186.028;0.0;206319.06944734027;202929.64698581243;215914.1597823077;30557.178651008704;3119.8887356429545;493056.1492579018;1875248.0268447348;85751.63922344394;9191.80786792696;206282.10755265455;202901.89872787724;215895.49582619322;30554.99010590368;3119.562164635195;493032.9886648407;1875237.8353478315;85750.76515698973;9191.80786792696;36.961894685721234;27.748257935186864;18.663956114482755;2.188545105024507;0.32657100775925724;23.16059306112197;10.19149690321745;0.874066454211644;0.0;
10-Jan-2021;5.37911666047907E7;5186.028;0.0;205580.23233433565;202414.77633423824;215193.8470232297;30530.32750461501;3114.3151721443814;493163.69909999426;1878553.327849503;85855.54262190707;9191.80786792696;205543.04837609292;202386.83285386697;215175.08017569172;30528.119315978467;3113.986019953928;493140.24915018154;1878542.9801380655;85854.65762673288;9191.80786792696;37.18395824272524;27.94348037125878;18.766847537972353;2.2081886365405805;0.3291521904535345;23.449949812703846;10.347711437380564;0.8849951741818571;0.0;
10-Jan-2021;5.378568130048914E7;5186.028;0.0;204846.95670466108;201894.848925176;214478.47537283375;30502.95094937833;3108.677424561024;493262.43842859427;1881859.3202293273;85959.25916518549;9191.80786792696;204809.54888542948;201866.70997727546;214459.6043976654;30500.723029222547;3108.3456825979288;493238.69789017923;1881848.8143596777;85958.36315510875;9191.80786792696;37.40781923159759;28.138947900532127;18.87097516836969;2.227920155782113;0.3317419630952665;23.74053841500688;10.505869649684103;0.8960100767410039;0.0;
10-Jan-2021;5.37802127319106E7;5186.028;0.0;204119.08357647134;201370.1938916597;213767.87596018412;30475.047172682385;3102.975263756768;493352.3464746641;1885165.9448579939;86062.78670999079;9191.80786792696;204081.45011075342;201341.8591857834;213748.89963957446;30472.799433607568;3102.640923584789;493328.314118978;1885155.2788782073;86061.87959854513;9191.80786792696;37.63346571792998;28.334705876302046;18.976320609644432;2.247739074816335;0.3343401719787777;24.032355686136896;10.665979786522364;0.9071114456589046;0.0;
10-Jan-2021;5.377476089002066E7;5186.028;0.0;203396.4605967669;200841.12493829426;213061.88815187884;30446.61490284221;3097.2086214298783;493433.4074195864;1888473.142486665;86166.12310807723;9191.80786792696;203358.59970997638;200812.5941404695;213042.805285365;30444.347257957794;3096.871674740242;493409.0820204595;1888462.3144365896;86165.20480851721;9191.80786792696;37.86088679054014;28.530797824771145;19.082866513849627;2.2676448844177113;0.33694668963668506;24.325399126831865;10.828050075249338;0.9182995600191622;0.0;
11-Jan-2021;5.376684776796235E7;7664.024;0.0;202678.94175506305;200307.94104030068;212360.35915981184;30417.653378434305;3091.377577647226;493505.61014163174;1891780.853776213;86269.26621139518;9191.80786792696;202640.85168254882;200279.21377476596;212341.16856327845;30415.365741284033;3091.0380162340966;493480.99047474173;1891769.8616874844;86268.33663670011;9191.80786792696;38.09007251421492;28.72726553473047;19.190596533396157;2.287637150271524;0.3395614131295628;24.619666890016063;10.992088728652329;0.9295746950652664;0.0;
11-Jan-2021;5.376142959546393E7;7664.024;0.0;201966.14054117101;199770.923399159;211663.14364708003;30388.162317070557;3085.482348514965;493568.94795531617;1895089.0193278305;86372.21387683121;9191.80786792696;201927.81959062433;199741.9992509674;211643.84415180955;30385.85460156171;3085.140164252685;493544.0327975691;1895077.8612238814;86371.27293970823;9191.80786792696;38.32095054668855;28.92414819158074;19.299495270487963;2.3077155088465933;0.3421842622802855;24.915157747035884;11.158103949210377;0.9409371229887639;0.0;
11-Jan-2021;5.375602811244542E7;7664.024;0.0;201258.1762648802;199230.34009372495;210970.10331437568;30358.141881822183;3079.523273459764;493623.4183268646;1898397.579711811;86474.9639705308;9191.80786792696;201219.6226878968;199201.21861025557;210950.69376615653;30355.81400215971;3079.178458282045;493598.2064558184;1898386.2536078778;86474.01158341714;9191.80786792696;38.55357698339396;29.121483469371483;19.40954821915727;2.3278796624717106;0.34481517771889975;25.21187104621144;11.326103933100617;0.952387113655417;0.0;
11-Jan-2021;5.375064330313909E7;7664.024;0.0;200554.92008594392;198686.45023411795;210281.10662495714;30327.592661284612;3073.5008068352527;493669.0227143631;1901706.4754948425;86577.51437186904;9191.80786792696;200516.13214145205;198657.13092559183;210261.58588321664;30325.24453190689;3073.153352715302;493643.51290766126;1901694.9793979684;86576.55044693376;9191.80786792696;38.787944491864046;29.31930852612868;19.520741740509614;2.3481293777211953;0.34745411995072567;25.509806701836307;11.496096874028844;0.9639249352832441;0.0;
11-Jan-2021;5.374527515027303E7;7664.024;0.0;199856.2484912192;198139.50067632948;209596.0285003933;30296.51564641384;3067.415508776499;493705.7663766458;1905015.6472661258;86679.86297712925;9191.80786792696;199817.22444466772;198109.98301723407;209576.39543736464;30294.14718193101;3067.065407708337;493679.95741147175;1905003.9791751588;86678.88742627416;9191.80786792696;39.02404655146313;29.517659095418775;19.633063028639693;2.368464482831301;0.35010106816194503;25.808965174064575;11.668090966955805;0.975550855085122;0.0;
11-Jan-2021;5.373992363514307E7;7664.024;0.0;199162.04306485696;197589.72657925874;208914.75001058922;30264.912206484853;3061.268036019437;493733.6581725005;1908325.0356621759;86782.00770287585;9191.80786792696;199122.78118744047;197560.01000970206;208895.00351051608;30262.523321620116;3060.9152800004927;493707.5488250554;1908313.1935677642;86781.02043773598;9191.80786792696;39.26187741648658;29.716569556685936;19.7465000731352;2.388884864737275;0.35275601894447317;26.109347445089643;11.842094411676259;0.9872651398702289;0.0;
12-Jan-2021;5.3721970293681495E7;20282.468;0.0;198472.1902684649;197037.351936788;208237.15807820644;30232.784066209973;3055.0591332810386;493752.7103691248;1911634.5813903115;86883.94648903084;9191.80786792696;198432.68883638384;197007.4358637858;208217.29703658307;30230.37467574372;3054.7037142959434;493726.2994141283;1911622.5632748953;86882.94742097425;9191.80786792696;39.50143208107046;29.91607300221094;19.861041623366223;2.40939046625585;0.3554189850953805;26.41095499648003;12.018115416242221;0.9990680566042265;0.0;
12-Jan-2021;5.371665324446387E7;20282.468;0.0;197785.3480627402;196482.57152027107;207563.14509690308;30200.133273873074;3048.789622178236;493762.9383657607;1914944.225250575;86985.67730162184;9191.80786792696;197745.605691609;196452.4553240037;207543.16841977567;30197.7032925924;3048.4315321845597;493736.2245759985;1914932.029088375;86984.66634174892;9191.80786792696;39.74237113120409;30.11619626735057;19.976677127415346;2.429981280673369;0.35808999367657823;26.71378976225337;12.196162200152994;1.0109598729170926;0.0;
